Node,xx,yy,zz
15,0.14035668847618205,0.16763054614240208,0.170293863659264
17,1.0141498903022177,0.1565247584249853,0.19235384061671348
18,0.950473566176356,0.5047771785649585,0.04472135954999579
20,0.06,0.1063014581273465,0.03605551275463989
21,0.18439088914585774,0.1664331697709324,0.2220360331117452
22,0.1746424919657298,0.45453272709454046,0.04242640687119284
23,0.261725046566048,0.3214031735997639,0.05385164807134504
24,0.35114099732158877,0.3905124837953327,0.03162277660168379
25,0.33734255586866,0.5600892785976179,0.1969771560359221
27,1.0458011283222064,0.24041630560342614,0.194164878389476
29,0.4070626487409523,0.630317380372777,0.16492422502470644
31,0.9651942809610924,0.24596747752497686,0.13999999999999999
32,1.0,0.3606937759374287,0.12041594578792295
33,0.4712748667179271,0.6200806399170998,0.23000000000000004
36,0.30083217912982646,0.17888543819998318,0.0608276253029822
37,0.18027756377319948,0.31400636936215165,0.34132096331752027
38,0.24020824298928625,0.37483329627982626,0.1063014581273465
39,0.4318564576337837,0.2954657340538831,0.22360679774997894
40,0.3668787265568828,0.46861498055439926,0.05385164807134504
41,0.19000000000000003,0.07615773105863911,0.2302172886644268
42,0.24698178070456941,0.6135144660071187,0.0824621125123532
43,0.35014282800023194,0.8440379138403676,0.16401219466856726
44,0.3132091952673165,0.5032891812864648,0.03162277660168379
45,0.5385164807134505,0.7211102550927979,0.23769728648009428
46,0.12041594578792297,0.22825424421026652,0.09999999999999999
47,0.320624390837628,0.1552417469626002,0.10440306508910549
49,0.06082762530298219,0.3352610922848042,0.21633307652783937
5,0.24515301344262527,0.17492855684535905,0.2302172886644268
52,0.2816025568065745,0.3328663395418648,0.11401754250991379
53,0.27018512172212594,0.4301162633521313,0.2973213749463701
54,0.04472135954999579,0.20880613017821098,0.09899494936611666
55,0.2184032966784156,0.14422205101855953,0.19104973174542803
56,0.20024984394500786,0.2262741699796952,0.09219544457292887
58,0.10198039027185571,0.36124783736376886,0.11401754250991379
59,0.363455636907725,0.20880613017821098,0.16278820596099708
6,0.4825971404805462,0.6981403870282825,0.020000000000000018
60,0.3298484500494129,0.46010868281309364,0.14866068747318506
61,0.12083045973594574,0.34713109915419565,0.17492855684535905
62,0.21377558326431953,0.6549045732013177,0.02236067977499789
63,0.3551056180912941,0.8704596486914256,0.12999999999999998
64,0.41000000000000003,0.5032891812864648,0.03162277660168379
65,0.3764306044943742,0.45541190146942806,0.2109502310972899
66,0.4382921400162225,0.4904079934095692,0.10295630140987001
68,0.3590264614203248,0.4669047011971501,0.050990195135927854
69,0.36496575181789315,0.6251399843235114,0.3522782990761708
7,0.6609841147864296,0.5099999999999999,0.16031219541881395
95,0.797057087039567,0.07615773105863906,0.1414213562373095
96,0.45607017003965516,0.6811754546370561,0.05830951894845301
